banksjo01,2007,Joshua Charles,R,55,4,27
bankswi01,1991,Willie Anthony,R,428,12,181
bannibr01,2006,Brian P.,R,384,5,117
bannoji01,1893,James Henry,R,2,3,3
bantaja01,1947,Jackie Kay,R,116,4,69
baptitr01,1998,,R,11,1,13
barbebr02,1995,Brian Scott,R,59,4,26
barbefr01,1907,Frank Frederick,R,1,2,4
barbest02,1970,Steven Lee,R,18,2,22
barcelo01,2000,,R,42,3,43
barclcu01,1957,Curtis Cordell,R,73,3,44
bardda01,2009,Daniel Paul,R,213,3,192
barera01,1972,Raymond Douglas,R,145,5,88
barfocl01,1922,Clyde Raymond,R,49,3,86
bargagr01,1983,Greg Robert,R,23,3,33
bargecy01,1906,Eros Bolivar,R,297,7,151
barkele01,1976,Leonard Harold (III),R,975,12,248
barkeri01,1999,,R,3,1,5
barklje01,1984,Jeffrey Carver,R,34,2,24
barlomi01,1975,Michael Roswell,R,96,7,133
barnefr02,1957,Frank,R,30,3,15
barneje01,1915,Jesse Lawrence,R,653,14,422
barnere02,1943,Rex Edward,R,336,6,155
barnero01,1876,Charles Roscoe,R,0,1,1
barnevi01,1919,Virgil Jennings,R,275,10,205
barnhed01,1924,Edgar Vernon,R,0,1,1
barnhle01,1928,Leslie Earl,R,2,2,3
barnige01,1939,George Bernard,R,28,3,20
barnoed01,1965,Edward Anthony,R,8,2,6
barojsa01,1982,Salome (Romero),R,177,6,179
baronda01,2007,Daniel Edward,R,18,1,16
barrbo01,1883,Robert McClelland,R,588,6,158
barrbo02,1935,Robert Alexander,R,0,1,2
barrebi02,1921,William Joseph,R,2,1,4
barredi01,1933,Tracy Souter,R,271,6,141
barrefr01,1939,Francis Joseph,R,90,5,104
barrere01,1937,Charles Henry,R,333,12,253
barreti01,1988,Timothy Wayne,R,5,1,4
barrifr01,1974,Francisco Javier (Jimenez),R,323,7,129
barrima01,1997,Manuel Antonio,R,4,3,5
barrji01,1971,James Leland,R,741,12,454
barryha01,1912,Hardin,R,3,1,3
barryke01,2006,Kevin Thomas,R,23,2,20
barryto01,1904,Thomas Arthur,R,1,1,1
barthbo01,1944,Robert Edward,R,4,1,7
barthji01,2008,James Richard,R,6,1,3
barthjo01,1904,John Francis,R,5,1,4
bartlbi01,1903,William Jackson,R,24,3,19
baskeji01,1911,James Blaine,R,59,3,35
bassan01,2011,Anthony E.,R,24,1,27
bassbr01,2008,Brian Michael,R,104,4,101
bassdi01,1939,Richard William,R,1,1,1
bassno01,1961,Norman Delaney (Jr.),R,111,3,65
bastich01,1884,Charles J.,R,2,1,1
batchri01,1993,Richard Anthony,R,33,4,43
batesdi01,1969,Charles Richard,R,3,1,1
batismi01,1992,Miguel Jerez (Decartes),R,1214,19,623
battijo01,1877,Joseph V.,R,1,2,3
battoch01,1976,Christopher Sean,R,4,1,2
bauerlo01,1918,Louis Walter,R,0,1,1
bauerri01,2001,,R,185,7,187
bauerru01,1936,Russell Lee,R,300,8,129
baumgge01,1912,George Washington,R,283,5,124
baumgha01,1920,Harry E.,R,7,1,9
bautaed01,1960,Eduardo (Galvez),R,89,6,97
bautide01,2004,Denny M. (German),R,180,10,131
bautijo01,1988,Jose Joaquin (Arias),R,328,10,312
baylijo01,2005,Jonah James,R,54,3,61
bazaryo01,2005,Yorman Osorio,R,37,4,25
beachbr01,2010,Brandon Alan,R,184,2,28
beallwa01,1924,Walter Esau,R,85,5,36
beamer01,1895,Ernest Joseph,R,3,1,9
beamoch01,1956,Charles Alfonzo (Sr.),R,45,3,27
beamtj01,2006,Theodore Lester,R,36,2,52
beanbe01,1930,Beveric Benton,R,89,6,86
beanco01,2005,Randall Colter,R,5,3,6
