cainbo01,1949,Robert Max,L,249,6,140
cainle01,1968,Leslie,L,303,4,68
cairnca01,2000,,L,8,1,15
caldwmi01,1971,Ralph Michael,L,939,15,475
caldwra01,1904,Ralph Grant,L,59,2,13
calhoje01,1984,Jeffrey Wilton,L,104,5,118
calica01,2004,Carmen Salvatore,L,27,3,40
callara01,1915,Raymond James,L,4,1,3
campbbi01,1905,William James,L,116,4,70
campbji03,1990,James Marcus,L,2,1,2
canavhu01,1918,Hugh Edward,L,18,1,11
candejo01,1975,John Robert,L,1673,23,600
cangejo01,1988,John Anthony,L,0,3,3
cantwmi01,1916,Michael Joseph,L,14,3,11
capildo01,1976,Douglas Edmund,L,178,8,136
cappuge01,1981,George Angelo,L,32,2,35
capuach01,2003,Christopher Frank,L,807,7,181
carawpa01,1930,Cecil Bradford Patrick,L,151,3,108
carlsje01,2008,Jesse Craig,L,114,3,162
carltst01,1965,Steven Norman,L,4136,27,741
carmado01,1983,Donald Wayne,L,598,10,342
carneed01,1941,Edwin Elliott,L,4,3,6
carnepa01,1902,Patrick Joseph,L,37,3,16
carpifr01,1965,Frank Dominic,L,29,2,49
cartean01,1994,Andrew Godfrey,L,24,2,24
cartear01,1944,Arnold Lee,L,37,2,46
carych01,1985,Charles Douglas,L,322,8,134
carysc01,1947,Scott Russell,L,25,1,23
caseyda01,1884,Daniel Maurice,L,743,7,201
casiala01,1990,Lawrence Paul,L,125,11,245
caskecr01,1973,Craig Douglas,L,6,1,9
cassijo01,1875,John P.,L,14,2,32
castial02,2008,Alberto  (Betancourt),L,48,4,79
castito02,1988,Antonio Jose (Jimenez),L,333,13,403
castlro01,1907,Royal Eugene,L,13,3,11
castnpa01,1923,Paul Henry,L,0,1,6
castrfa01,2006,Fabio Enrique,L,32,3,30
catetr01,2007,Troy P,L,12,1,14
cavetpu01,1911,Tillar H.,L,78,3,49
ceccaar01,1955,Arthur Edward,L,166,5,79
cecilbr01,2009,Brett Aarion,L,273,3,66
cedenxa01,2011,Xavier,L,0,1,3
cerdaja01,2002,Jaime Magana,L,91,4,132
cerutjo01,1985,John Joseph,L,398,7,229
chacigu01,2004,Gustavo G. Adolfo (Gonzalez),L,216,5,102
chambbi02,1932,,L,11,1,12
chambcl01,1948,,L,374,7,189
chambro01,1900,Richard Jerome,L,2,1,1
chapmar01,2010,Albertin Aroldis (De La Cruz),L,90,2,69
charlno01,1988,Norman Wood (III),L,808,15,605
chaseha01,1908,Harold Homer,L,0,1,1
chaseke01,1936,Kendall Fay,L,582,9,188
cheadda01,1973,David Baird,L,2,1,2
cheliit01,1935,Italo Vincent,L,20,3,24
chenbr01,1998,,L,882,18,317
chicoma01,2007,Matthew Bryan,L,128,3,43
chipmbo01,1941,Robert Howard,L,322,13,293
choatra01,2000,Randol Doyle,L,228,11,396
chrisga01,1979,Gary Richard,L,20,2,30
chrisja01,1995,Jason Samuel,L,384,14,528
chrismi01,1979,Michael,L,46,3,29
christi01,2001,,L,2,1,1
clarkbr01,1981,Bryan Donald,L,259,8,186
clarkge01,1913,George Myron,L,5,1,11
clarkle01,1921,Alan Thomas,L,1,1,1
clarkst02,1983,Stanley Martin,L,36,6,50
clarkwa02,1924,William Watson,L,643,14,355
clarkwe01,1955,Vibert Ernesto,L,9,1,7
clasego01,1933,Gowell Sylvester,L,1,1,8
clausal01,1913,Albert Stanley,L,1,1,5
clausbr01,2003,Brandon Allen Falker,L,228,4,58
clausfr01,1892,Frederick William,L,134,5,42
clemepa01,1985,Patrick Brian,L,158,10,288
clemola01,1971,Lance Levis,L,23,3,19
clostal01,1966,Alan Edward,L,26,4,21
clouged01,1925,Edgar George,L,3,2,4
clowebi01,1926,William Perry,L,0,1,2
clydeda01,1973,David Eugene,L,228,5,84
coganto01,2001,,L,17,1,39
cohensy01,1934,Sydney Harry,L,49,3,55
cokeph01,2008,Phillip Douglas,L,185,4,206
colebe01,1921,Albert George,L,119,7,177
colemjo03,1895,John,L,5,1,1
colemri01,1955,Walter Lee,L,130,6,95
collawi01,2007,William,L,0,1,6
collido01,1977,Donald Edward,L,27,2,44
colliha01,1899,James Harry,L,8,1,14
collira01,1909,Raymond Williston,L,511,7,199
colliti01,2011,Timothy N.,L,60,1,68
colluja01,1951,Jack Dean,L,171,12,171
colyest01,2003,Stephen Edward,L,51,3,61
combspa01,1989,Patrick Dennis,L,190,4,56
comptcl01,1972,Robert Clinton,L,0,1,1
comstke01,1984,Keith Martin,L,142,7,144
connoed02,1964,Edward Joseph (Jr.),L,118,2,42
conroti01,1978,Timothy James,L,307,7,135
constji01,1956,Jimmy Lee,L,59,7,56
conwaje01,1920,Jerome Patrick,L,0,1,1
cookde01,1988,Dennis Bryan,L,739,19,665
cookest01,1992,Steven Montague,L,335,6,104
cookro02,1970,Ronald Wayne,L,60,2,46
coombda01,1963,Daniel Bernard,L,249,9,144
coonejo01,1921,John Walter,L,224,9,159
coopewi01,1912,Arley Wilbur,L,1252,16,517
corbesh01,1988,Sherman Stanley,L,33,3,42
cormirh01,1991,Rheal Paul,L,760,17,683
cosgrmi01,1972,Michael John,L,122,5,119
cottren01,1911,Ensign Stover,L,12,5,12
cottsne01,2003,Neal James,L,235,7,284
coumbfr01,1914,Frederick Nicholas,L,212,9,193
courtha01,1919,Henry Seymour,L,112,5,94
courtjo01,1995,John Charles,L,0,1,1
coutljo01,2007,Jonathan Thomas,L,38,1,64
covelha01,1907,Harry Frank,L,511,9,198
covinch01,1944,Chester Rogers,L,13,1,19
cozarch01,1945,Charles Rhubin,L,4,1,5
crablge01,1910,George Elmer,L,3,1,2
craddwa01,1955,Walter Anderson,L,39,3,29
craigge01,1907,George McCarthy,L,0,1,2
cramebo01,2010,Robert T.,L,19,2,9
crawfji01,1973,James Frederick,L,276,5,181
crawfjo01,1997,Joseph Randal,L,25,1,19
crawfla01,1937,Charles Lowrie,L,2,1,6
